chr1	910000	920000	chr1	1210000	1300000	0.000280760056399485
chr1	1070000	1100000	chr1	1170000	1250000	0.003259118354333037
chr1	2330000	2360000	chr1	2450000	2710000	2.955214784014551e-31
chr1	2910000	2960000	chr1	3200000	3380000	9.702460004545295e-11
chr1	3360000	3410000	chr1	3510000	3710000	1.0807643273301225e-07
chr1	3820000	3870000	chr1	4010000	5660000	4.3180752614348385e-143
chr1	6300000	6350000	chr1	6410000	6540000	6.87858030304981e-12
chr1	7260000	7310000	chr1	7560000	7730000	1.830030651602557e-07
chr1	8050000	8100000	chr1	8240000	8430000	2.4710348078351497e-25
chr1	9310000	9360000	chr1	9460000	9690000	2.6466637448211663e-37
chr1	10560000	10610000	chr1	10890000	11080000	5.4438904217527315e-15
chr1	12370000	12380000	chr1	12650000	12760000	1.7112946217568458e-14
chr1	15440000	15490000	chr1	15550000	15710000	1.527893775919642e-23
chr1	16090000	16140000	chr1	16250000	16420000	8.599307298831674e-16
chr1	16390000	16440000	chr1	16490000	16620000	1.0093768733046453e-19
chr1	17810000	17860000	chr1	17910000	18020000	6.221942769569459e-07
chr1	18900000	18950000	chr1	19060000	19270000	3.2904050912091306e-27
chr1	19200000	19250000	chr1	19340000	19660000	2.3571160508180747e-36
chr1	20540000	20570000	chr1	20670000	20840000	2.609162903254017e-09
chr1	21300000	21330000	chr1	21430000	21550000	0.00018987448511231745
chr1	21540000	21590000	chr1	21650000	22060000	6.730405514552638e-48
chr1	22420000	22470000	chr1	22640000	23050000	1.186635491179487e-06
chr1	22720000	22770000	chr1	22900000	23030000	7.65504420215443e-06
chr1	22970000	23020000	chr1	23170000	23340000	2.9825386196908952e-33
chr1	23290000	23340000	chr1	23520000	23660000	0.00514396006319323
chr1	23420000	23430000	chr1	23500000	23610000	1.4670742895247496e-09
chr1	24230000	24260000	chr1	24360000	24500000	3.995520675622917e-18
chr1	24510000	24540000	chr1	24640000	25010000	1.1240500920164694e-18
chr1	24990000	25020000	chr1	25090000	25220000	2.4997528004003043e-16
chr1	25260000	25270000	chr1	25360000	25480000	1.734225276256908e-11
chr1	26920000	26970000	chr1	27030000	27200000	1.4613717716928135e-15
chr1	27410000	27460000	chr1	27530000	27670000	6.146859278681683e-06
chr1	28170000	28200000	chr1	28280000	28380000	0.01806506398718658
chr1	29180000	29230000	chr1	29350000	29540000	3.859544854818196e-08
chr1	29540000	29590000	chr1	29720000	29910000	4.583442632118622e-22
chr1	29850000	29900000	chr1	30040000	30180000	1.4436022680895331e-25
chr1	30870000	30920000	chr1	31060000	31210000	1.1909961441024908e-05
chr1	31270000	31300000	chr1	31360000	31440000	2.8009090139332375e-08
chr1	31630000	31680000	chr1	31790000	32130000	1.9707990022809637e-09
chr1	32100000	32150000	chr1	32210000	32320000	7.705722412253876e-06
chr1	32270000	32320000	chr1	32390000	32520000	9.628579530324214e-08
chr1	32670000	32700000	chr1	32770000	32870000	3.5359545609902884e-05
chr1	32860000	32910000	chr1	33150000	33380000	0.0007714413268001496
chr1	39310000	39360000	chr1	39450000	39590000	1.9146457308243095e-06
chr1	39550000	39600000	chr1	39670000	40080000	2.4655900779197952e-17
chr1	39730000	39760000	chr1	39870000	40020000	0.00013760988301418422
