chr1	2430001	2490000	chr1	2430001	4980000	2550000	60000	51.12117374660767	96.0%	0.056084656084656	-0.4358629631872391
chr1	6700001	6760000	chr1	6700001	7650000	950000	60000	114.99513818648376	99.0%	0.0359788359788359	1.4672281339029338
chr1	24640001	24710000	chr1	24640001	25220000	580000	70000	207.4153474076568	99.0%	0.0851851851851851	0.5622725005079607
chr1	25230001	25260000	chr1	25230001	26220000	990000	30000	102.71713180215131	98.0%	0.0784729586426299	-2.908719564169796
chr1	25370001	25420000	chr1	25370001	26350000	980000	50000	124.95499277349522	98.0%	0.088016967126193	-0.7714362594623323
chr1	28790001	28850000	chr1	28790001	30680000	1890000	60000	58.910624070453	97.0%	0.0774125132555673	0.4288312272385944
chr1	74170001	74210000	chr1	74170001	75790000	1620000	40000	66.7395181558416	96.0%	0.0885471898197242	-2.701894239192031
chr1	80850001	80930000	chr1	80850001	82900000	2050000	80000	54.64760560312864	96.0%	0.0783068783068783	-3.34940695709966
chr1	80970001	81030000	chr1	80970001	82900000	1930000	60000	57.46050613187945	96.0%	0.0984126984126984	-3.635464367172295
chr1	96470001	96500000	chr1	96470001	97390000	920000	30000	96.23895926764908	96.0%	0.0895144955590342	-1.142853275097243
chr1	105590001	105690000	chr1	105590001	107330000	1740000	100000	68.84681309760833	97.0%	0.0566137566137566	
chr1	105870001	105920000	chr1	105870001	107400000	1530000	50000	77.98509675294207	98.0%	0.037037037037037	-5.10220539492043
chr1	106290001	106360000	chr1	106290001	106920000	630000	70000	185.82759725303936	99.0%	0.0857142857142857	-3.859240439738741
chr1	164100001	164140000	chr1	164100001	166380000	2280000	40000	51.19253478514496	95.0%	0.0254506892895015	-2.6696011882690285
chr1	190170001	190210000	chr1	190170001	192370000	2200000	40000	83.21346899049445	96.0%	0.0211640211640211	-5.843898840217303
chr1	191880001	191920000	chr1	191880001	194550000	2670000	40000	48.615865419362	95.0%	0.0423280423280423	-4.946458531346314
chr1	196700001	196740000	chr1	196700001	198320000	1620000	40000	67.47229903727477	96.0%	0.019047619047619	-3.1564191899089864
chr1	206090001	206150000	chr1	205310001	206150000	840000	60000	136.59168863757688	98.0%	0.0645502645502645	-1.0984525260253044
chr1	206410001	206460000	chr1	205340001	206460000	1120000	50000	99.78536795951166	99.0%	0.0365853658536585	
chr1	209840001	209880000	chr1	209840001	211160000	1320000	40000	72.1607013824939	98.0%	0.0995786272562518	-0.8024793304963147
chr1	219540001	219580000	chr1	218630001	219580000	950000	40000	105.91519043783848	99.0%	0.0529100529100529	-2.4203895449782573
chr1	219610001	219680000	chr1	218850001	219680000	830000	70000	107.2927258131442	99.0%	0.0941798941798941	-2.1170735583605644
chr1	239300001	239350000	chr1	239300001	242930000	3630000	50000	33.768607148360545	95.0%	0.0402969247083775	-4.185780698789614
chr2	3270001	3340000	chr2	1830001	3340000	1510000	70000	59.12711341850978	97.0%	0.0931216931216931	0.6060219385322841
chr2	19820001	19870000	chr2	18310001	19870000	1560000	50000	58.22927913438188	99.0%	0.0936507936507936	0.9133998374376172
chr2	57700001	57770000	chr2	57700001	58900000	1200000	70000	80.42110519902683	99.0%	0.0693121693121693	2.3668720261538496
chr2	196280001	196340000	chr2	196280001	196910000	630000	60000	126.7753017972052	99.0%	0.0634920634920634	0.7370050935222354
